Code_BuildingVariant;Remark_BuildingVariant_1;Remark_BuildingVariant_2;Date_Entry;Date_Change;Code_StatusDataset;Code_Country;Code_Building;Number_BuildingVariant;Description_BuildingVariant;Description_BuildingVariant_National;Code_BuildingType;Code_BuildingSizeClass;Code_ConstructionYearClass;Year1_Building;Year2_Building;A_C_Ref;delta_U_ThermalBridging;n_air_infiltration;A_Roof_1;A_Roof_2;A_Wall_1;A_Wall_2;A_Wall_3;A_Floor_1;A_Floor_2;A_Window_1;A_Window_2;A_Door_1;U_Roof_1;U_Roof_2;U_Wall_1;U_Wall_2;U_Wall_3;U_Floor_1;U_Floor_2;U_Window_1;U_Window_2;U_Door_1;d_Insulation_Roof_1;d_Insulation_Roof_2;d_Insulation_Wall_1;d_Insulation_Wall_2;d_Insulation_Wall_3;d_Insulation_Floor_1;d_Insulation_Floor_2;A_Window_Horizontal;A_Window_East;A_Window_South;A_Window_West;A_Window_North;R_Add_UnheatedSpace_Roof_1;R_Add_UnheatedSpace_Roof_2;R_Add_UnheatedSpace_Wall_1;R_Add_UnheatedSpace_Wall_2;R_Add_UnheatedSpace_Wall_3;R_Add_UnheatedSpace_Floor_1;R_Add_UnheatedSpace_Floor_2;b_Transmission_Roof_1;b_Transmission_Roof_2;b_Transmission_Wall_1;b_Transmission_Wall_2;b_Transmission_Wall_3;b_Transmission_Floor_1;b_Transmission_Floor_2;Code_Measure_Roof_1;Code_Measure_Roof_2;Code_Measure_Wall_1;Code_Measure_Wall_2;Code_Measure_Wall_3;Code_Measure_Floor_1;Code_Measure_Floor_2;Code_Measure_Window_1;Code_Measure_Window_2;Code_Measure_Door_1;R_Measure_Roof_1;R_Measure_Roof_2;R_Measure_Wall_1;R_Measure_Wall_2;R_Measure_Wall_3;R_Measure_Floor_1;R_Measure_Floor_2;R_Measure_Window_1;R_Measure_Window_2;R_Measure_Door_1;Code_MeasureType_Roof_1;Code_MeasureType_Roof_2;Code_MeasureType_Wall_1;Code_MeasureType_Wall_2;Code_MeasureType_Wall_3;Code_MeasureType_Floor_1;Code_MeasureType_Floor_2;Code_MeasureType_Window_1;Code_MeasureType_Window_2;Code_MeasureType_Door_1;Code_ClimateRegion;Name_ClimateRegion;HeatingDays;Theta_e;I_Sol_Hor;I_Sol_East;I_Sol_South;I_Sol_West;I_Sol_North;Code_BoundaryCond;theta_i;F_red_htr1;F_red_htr4;n_air_use;h_room;phi_int;g_gl_n;F_sh_hor;F_sh_vert;F_f;F_w;c_m;R_Before_Roof_1;R_Before_Roof_2;R_Before_Wall_1;R_Before_Wall_2;R_Before_Wall_3;R_Before_Floor_1;R_Before_Floor_2;R_Before_Window_1;R_Before_Window_2;R_Before_Door_1;U_Actual_Roof_1;U_Actual_Roof_2;U_Actual_Wall_1;U_Actual_Wall_2;U_Actual_Wall_3;U_Actual_Floor_1;U_Actual_Floor_2;U_Actual_Window_1;U_Actual_Window_2;U_Actual_Door_1;H_Transmission_Roof_1;H_Transmission_Roof_2;H_Transmission_Wall_1;H_Transmission_Wall_2;H_Transmission_Wall_3;H_Transmission_Floor_1;H_Transmission_Floor_2;H_Transmission_Window_1;H_Transmission_Window_2;H_Transmission_Door_1;H_Transmission_ThermalBridging;h_Transmission;h_Ventilation;Sum_DeltaT_for_HeatingDays;F_red_temp;q_ht_tr;q_ht_ve;q_ht;Q_Sol_Hor;Q_Sol_East;Q_Sol_South;Q_Sol_West;Q_Sol_North;q_sol;q_int;tau;a_H;gamma_h_gn;eta_h_gn;q_h_nd;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DE.East.MFH.05.Gen.ReEx.001.002;;;2014-09-08;;Typology;DE;DE.East.MFH.05.Gen.ReEx.001;2;;;DE.East.MFH.05.Gen;MFH;DE.05;1958;1968;2742,3;0,1;0,2;0;811,92;1480,48;0;0;811,92;0;547;0;2;0,8;0,6;1,1;1,1;1,1;1,6;1,6;2,7;2,7;3;0,05;0,05;0;0;0;0,01;0,01;0;267,5;6;267,5;6;0;0,3;0;0;0;0,3;0;1;1;1;0;0;0,5;0;DE.Roof.Insulation12cm.01;DE.Ceiling.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Floor.Insulation08cm.01;DE.Floor.Insulation08cm.01;DE.Window.2p-LowE-arg.01;DE.Window.2p-LowE-arg.01;DE.Door.Insulated.02;2,436548223;3,428571429;3,447321429;3,447321429;3,447321429;2,285714286;2,285714286;0,769230769;0,769230769;0,769230769;Replace;Add;Add;Add;Add;Add;Add;Replace;Replace;Replace;DE.N;Germany;222;4,4;403;271;392;271;160;EU.MUH;20;0,95;0,85;0,4;2,5;3;0,6;0,8;0,6;0,3;0,9;45;1,25;1,97;0,91;0,91;0,91;0,93;0,63;0,37;0,37;0,33;0,41;0,19;0,23;0,23;0,23;0,31;0,34;1,3;1,3;1,3;0;150,49;339,84;0;0;126,44;0;711,1;0;2,6;365,33;0,62;0,51;3463;0,95;49;40;89;0;16441;533;16441;218;12;16;40;2,13;0,317;0,94;62,57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DE.N.MFH.06.Gen.ReEx.001.002;;;2014-09-08;;Typology;DE;DE.N.MFH.06.Gen.ReEx.001;2;;;DE.N.MFH.06.Gen;MFH;DE.06;1969;1978;468,611;0,1;0,2;0;216,7;336;0;0;216,7;0;81,3;0;2;0,5;0,6;1;1;1;1;1;3,5;3,5;4;0,06;0,05;0;0;0;0,02;0,02;0;40,65;0;40,65;0;0;0,3;0;0;0;0,3;0;0;1;1;0;0;0,5;0;DE.Roof.Insulation12cm.01;DE.Ceiling.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Floor.Insulation08cm.01;DE.Floor.Insulation08cm.01;DE.Window.2p-LowE-arg.01;DE.Window.2p-LowE-arg.01;DE.Door.Insulated.02;2,436548223;3,428571429;3,447321429;3,447321429;3,447321429;2,285714286;2,285714286;0,769230769;0,769230769;0,769230769;Replace;Add;Add;Add;Add;Add;Add;Replace;Replace;Replace;DE.N;Germany;222;4,4;403;271;392;271;160;EU.MUH;20;0,95;0,85;0,4;2,5;3;0,6;0,8;0,6;0,3;0,9;45;2;1,97;1;1;1;1,3;1;0,29;0,29;0,25;0,41;0,19;0,22;0,22;0,22;0,28;0,3;1,3;1,3;1,3;0;40,17;75,55;0;0;30,22;0;105,69;0;2,6;85,27;0,72;0,51;3463;0,95;57;40;97;0;2498;0;2498;0;11;16;36;2,02;0,273;0,95;72,28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DE.N.MFH.07.Gen.ReEx.001.002;;;2014-09-08;;Typology;DE;DE.N.MFH.07.Gen.ReEx.001;2;;;DE.N.MFH.07.Gen;MFH;DE.07;1979;1983;653,95;0,1;0,2;0;248,25;447,13;0;0;248,25;0;99,37;0;2;0,5;0,5;0,8;0,8;0,8;0,8;0,8;3,5;3,5;4;0,08;0,06;0;0;0;0,04;0,04;0;46,335;3,35;46,335;3,35;0;0,3;0;0;0;0,3;0;0;1;1;0;0;0,5;0;DE.Roof.Insulation12cm.01;DE.Ceiling.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Floor.Insulation08cm.01;DE.Floor.Insulation08cm.01;DE.Window.2p-LowE-arg.01;DE.Window.2p-LowE-arg.01;DE.Door.Insulated.02;2,436548223;3,428571429;3,447321429;3,447321429;3,447321429;2,285714286;2,285714286;0,769230769;0,769230769;0,769230769;Replace;Add;Add;Add;Add;Add;Add;Replace;Replace;Replace;DE.N;Germany;222;4,4;403;271;392;271;160;EU.MUH;20;0,95;0,85;0,4;2,5;3;0,6;0,8;0,6;0,3;0,9;45;2;2,3;1,25;1,25;1,25;1,55;1,25;0,29;0,29;0,25;0,41;0,17;0,21;0,21;0,21;0,26;0,28;1,3;1,3;1,3;0;43,34;95,19;0;0;32,36;0;129,18;0;2,6;104,5;0,62;0,51;3463;0,95;49;40;89;0;2848;298;2848;122;9;16;40;2,12;0,283;0,95;65,37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DE.N.MFH.08.Gen.ReEx.001.002;;;2014-09-08;;Typology;DE;DE.N.MFH.08.Gen.ReEx.001;2;;;DE.N.MFH.08.Gen;MFH;DE.08;1984;1994;778,14;0,1;0,2;0;249,4;774,8;0;0;249,4;0;161;0;2;0,4;0,4;0,6;0,6;0,6;0,6;0,6;3,5;3,5;4;0,12;0,1;0;0;0;0,06;0,06;0;11,4;84,2;11,4;54;0;0,3;0;0;0;0,3;0;0;1;1;0;0;0,5;0;DE.Roof.Insulation12cm.01;DE.Ceiling.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Floor.Insulation08cm.01;DE.Floor.Insulation08cm.01;DE.Window.2p-LowE-arg.01;DE.Window.2p-LowE-arg.01;DE.Door.Insulated.02;2,436548223;3,428571429;3,447321429;3,447321429;3,447321429;2,285714286;2,285714286;0,769230769;0,769230769;0,769230769;Replace;Add;Add;Add;Add;Add;Add;Replace;Replace;Replace;DE.N;Germany;222;4,4;403;271;392;271;160;EU.MUH;20;0,95;0,85;0,4;2,5;3;0,6;0,8;0,6;0,3;0,9;45;2,5;2,8;1,67;1,67;1,67;1,97;1,67;0,29;0,29;0,25;0,41;0,16;0,2;0,2;0,2;0,24;0,25;1,3;1,3;1,3;0;40,04;151,51;0;0;29,32;0;209,3;0;2,6;143,66;0,74;0,51;3463;0,95;58;40;99;0;701;7486;701;1960;14;16;36;2;0,303;0,93;70,81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DE.N.MFH.09.Gen.ReEx.001.002;;;2014-09-08;2015-08-05;Typology;DE;DE.N.MFH.09.Gen.ReEx.001;2;;;DE.N.MFH.09.Gen;MFH;DE.09;1995;2001;834,9;0,1;0,2;0;283,7;695,8;0;0;283,7;0;162,8;0;2;0,35;0,35;0,4;0,4;0,4;0,45;0,45;1,9;1,9;2;0,14;0,1;0,08;0,08;0,08;0,08;0,08;0;22,7;77,5;22,7;39,9;0;0,3;0;0;0;0,3;0;0;1;1;0;0;0,5;0;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;DE.N;Germany;222;4,4;403;271;392;271;160;EU.MUH;20;0,95;0,85;0,4;2,5;3;0,6;0,8;0,6;0,3;0,9;45;2,86;3,16;2,5;2,5;2,5;2,52;2,22;0,53;0,53;0,5;0,35;0,32;0,4;0,4;0,4;0,4;0,45;1,9;1,9;2;0;89,86;278,32;0;0;56,24;0;309,32;0;4;142,8;1,05;0,51;3463;0,95;83;40;123;0;1395;6890;1395;1448;13;16;29;1,76;0,238;0,94;95,82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DE.N.MFH.10.Gen.ReEx.001.002;;;2014-09-08;2015-08-05;Typology;DE;DE.N.MFH.10.Gen.ReEx.001;2;;;DE.N.MFH.10.Gen;MFH;DE.10;2002;2009;2190,1;0,05;0,1;580;0;1698;0;0;619,5;0;308,7;0;2;0,2;0,24;0,25;0,25;0,25;0,35;0,35;1,4;1,4;3;0,18;0,2;0,14;0,14;0,14;0,1;0,1;0;79,5;108,6;77,9;42,7;0;0;0;0;0;0,3;0;1;0;1;0;0;0,5;0;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;DE.N;Germany;222;4,4;403;271;392;271;160;EU.MUH;20;0,95;0,85;0,4;2,5;3;0,6;0,8;0,6;0,3;0,9;45;5;4,17;4;4;4;3,16;2,86;0,71;0,71;0,33;0,2;0,24;0,25;0,25;0,25;0,32;0,35;1,4;1,4;3;116;0;424,5;0;0;98,11;0;432,18;0;6;160,41;0,56;0,43;3463;0,95;45;34;78;0;4886;9655;4788;1549;10;16;45;2,32;0,326;0,95;53,97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DE.N.SFH.01.Gen.ReEx.001.002;;;2014-09-08;;Typology;DE;DE.N.SFH.01.Gen.ReEx.001;2;;;DE.N.SFH.01.Gen;SFH;DE.01;0;1859;218,9;0,15;0,2;134,19;0;169,78;0;0;0;85,46;28,78;0;2;2,6;1;2;2;2;2,9;2,9;3,5;5;3;0;0;0;0;0;0;0;0;7,94;9,56;7,94;3,34;0;0;0;0;0;0;0;1;0;1;1;0,5;0;0,5;DE.Roof.Insulation12cm.01;DE.Ceiling.Insulation12cm.01;DE.Wall.Insulation08cm.04;DE.Wall.Insulation08cm.04;DE.Wall.Insulation08cm.04;DE.Floor.Insulation06cm.02;DE.Floor.Insulation06cm.02;DE.Window.2p-LowE-arg.02;DE.Window.2p-LowE-arg.02;DE.Door.Insulated.01;2,436548223;3,428571429;2,345714286;2,345714286;2,345714286;1,714285714;1,714285714;0,625;0,625;0,625;Replace;Add;Add;Add;Add;Add;Add;Replace;Replace;Replace;DE.N;Germany;222;4,4;403;271;392;271;160;EU.SUH;20;0,9;0,8;0,4;2,5;3;0,6;0,8;0,6;0,3;0,9;45;0,38;1;0,5;0,5;0,5;0,34;0,34;0,29;0,2;0,33;0,41;0,23;0,35;0,35;0,35;0,49;0,49;1,6;1,6;1,6;55,07;0;59,66;0;0;0;20,75;46,05;0;3,2;63,03;1,13;0,51;3463;0,9;84;38;122;0;488;850;488;121;9;16;27;1,71;0,204;0,95;98,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DE.N.SFH.02.Gen.ReEx.001.002;;;2014-09-08;;Typology;DE;DE.N.SFH.02.Gen.ReEx.001;2;;;DE.N.SFH.02.Gen;SFH;DE.02;1860;1918;141,79;0,1;0,2;83,12;0;194,04;0;0;45,6;32,7;22,3;0;2;1,3;1;1,7;1,7;1,7;1,2;1,2;3,5;3,5;3;0;0;0;0;0;0;0;0;7,65;5,6;7,65;1,4;0;0;0;0;0;0,3;0;1;0;1;0;0;0,5;0,5;DE.Roof.Insulation12cm.01;DE.Ceiling.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Floor.Insulation08cm.01;DE.Floor.Insulation08cm.01;DE.Window.2p-LowE-arg.02;DE.Window.2p-LowE-arg.02;DE.Door.Insulated.01;2,436548223;3,428571429;3,447321429;3,447321429;3,447321429;2,285714286;2,285714286;0,625;0,625;0,625;Replace;Add;Add;Add;Add;Add;Add;Replace;Replace;Replace;DE.N;Germany;222;4,4;403;271;392;271;160;EU.SUH;20;0,9;0,8;0,4;2,5;3;0,6;0,8;0,6;0,3;0,9;45;0,77;1;0,59;0,59;0,59;1,13;0,83;0,29;0,29;0,33;0,41;0,23;0,25;0,25;0,25;0,29;0,32;1,6;1,6;1,6;34,11;0;48,08;0;0;6,67;5,24;35,68;0;3,2;37,98;1,21;0,51;3463;0,89;90;38;127;0;470;498;470;51;11;16;26;1,67;0,208;0,94;102,42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DE.N.SFH.03.Gen.ReEx.001.002;;;2014-09-08;;Typology;DE;DE.N.SFH.03.Gen.ReEx.001;2;;;DE.N.SFH.03.Gen;SFH;DE.03;1919;1948;302,5;0,1;0,2;213,99;0;235,3;0;0;144,9;0;52,35;0;2;1,4;0,8;1,7;1,7;1,7;1;1;3,5;3,5;3;0;0;0;0;0;0;0;0;9,1;22;9,1;12,15;0;0;0;0;0;0,3;0;1;0;1;0;0;0,5;0;DE.Roof.Insulation12cm.01;DE.Ceiling.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Floor.Insulation08cm.01;DE.Floor.Insulation08cm.01;DE.Window.2p-LowE-arg.01;DE.Window.2p-LowE-arg.01;DE.Door.Insulated.02;2,436548223;3,428571429;3,447321429;3,447321429;3,447321429;2,285714286;2,285714286;0,769230769;0,769230769;0,769230769;Replace;Add;Add;Add;Add;Add;Add;Replace;Replace;Replace;DE.N;Germany;222;4,4;403;271;392;271;160;EU.SUH;20;0,9;0,8;0,4;2,5;3;0,6;0,8;0,6;0,3;0,9;45;0,71;1,25;0,59;0,59;0,59;1,3;1;0,29;0,29;0,33;0,41;0,21;0,25;0,25;0,25;0,28;0,3;1,3;1,3;1,3;87,83;0;58,31;0;0;20,21;0;68,06;0;2,6;64,85;1;0,51;3463;0,9;75;38;113;0;559;1956;559;441;12;16;30;1,79;0,245;0,94;86,89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DE.N.SFH.04.Gen.ReEx.001.002;;;2014-09-08;;Typology;DE;DE.N.SFH.04.Gen.ReEx.001;2;;;DE.N.SFH.04.Gen;SFH;DE.04;1949;1957;111,1;0,1;0,2;125,4;0;117,8;0;0;62;17,9;18,4;0;2;1,4;0,8;1,4;1,4;1,4;1,01;1,01;3,5;3,5;3;0;0;0;0;0;0;0;0;3,25;8,6;3,25;3,3;0;0;0;0;0;0,3;0;1;0;1;0;0;0,5;0,5;DE.Roof.Insulation12cm.01;DE.Ceiling.Insulation12cm.01;DE.Wall.Insulation08cm.03;DE.Wall.Insulation08cm.03;DE.Wall.Insulation08cm.03;DE.Floor.Insulation08cm.01;DE.Floor.Insulation08cm.01;DE.Window.2p-LowE-arg.01;DE.Window.2p-LowE-arg.01;DE.Door.Insulated.02;2,436548223;3,428571429;1,796527778;1,796527778;1,796527778;2,285714286;2,285714286;0,769230769;0,769230769;0,769230769;Replace;Add;Add;Add;Add;Add;Add;Replace;Replace;Replace;DE.N;Germany;222;4,4;403;271;392;271;160;EU.SUH;20;0,9;0,8;0,4;2,5;3;0,6;0,8;0,6;0,3;0,9;45;0,71;1,25;0,71;0,71;0,71;1,29;0,99;0,29;0,29;0,33;0,41;0,21;0,4;0,4;0,4;0,28;0,31;1,3;1,3;1,3;51,47;0;46,92;0;0;8,67;2,73;23,92;0;2,6;34,35;1,54;0,51;3463;0,88;113;37;150;0;200;765;200;120;12;16;22;1,53;0,184;0,94;124,17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DE.N.SFH.05.Gen.ReEx.001.002;;;2014-09-08;;Typology;DE;DE.N.SFH.05.Gen.ReEx.001;2;;;DE.N.SFH.05.Gen;SFH;DE.05;1958;1968;266,2;0,1;0,2;180,9;0;183,33;0;51;145;0;45,15;0;2;0,8;0,6;1,2;1,2;1,2;1,6;1,6;3,5;3,5;3;0,05;0,05;0;0;0;0,01;0,01;0;9,12;10,02;9,12;16,89;0;0;0;0;0,3;0,3;0;1;0;1;0;0,5;0,5;0;DE.Roof.Insulation12cm.01;DE.Ceiling.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Floor.Insulation08cm.01;DE.Floor.Insulation08cm.01;DE.Window.2p-LowE-arg.01;DE.Window.2p-LowE-arg.01;DE.Door.Insulated.02;2,436548223;3,428571429;3,447321429;3,447321429;3,447321429;2,285714286;2,285714286;0,769230769;0,769230769;0,769230769;Replace;Add;Add;Add;Add;Add;Add;Replace;Replace;Replace;DE.N;Germany;222;4,4;403;271;392;271;160;EU.SUH;20;0,9;0,8;0,4;2,5;3;0,6;0,8;0,6;0,3;0,9;45;1,25;1,67;0,83;0,83;1,13;0,93;0,63;0,29;0,29;0,33;0,41;0,2;0,23;0,23;0,22;0,31;0,34;1,3;1,3;1,3;74,24;0;42,83;0;5,57;22,58;0;58,7;0;2,6;60,74;1;0,51;3463;0,9;75;38;113;0;561;891;561;613;10;16;30;1,79;0,228;0,94;88,83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DE.N.SFH.06.Gen.ReEx.001.002;;;2014-09-08;;Typology;DE;DE.N.SFH.06.Gen.ReEx.001;2;;;DE.N.SFH.06.Gen;SFH;DE.06;1969;1978;173,25;0,1;0,2;183,13;0;177,55;0;0;78,32;74;34,21;0;2;0,5;0,6;1;1;1;1;1;3,5;3,5;3;0,06;0,05;0;0;0;0,02;0,02;0;5;16,64;5;7,57;0;0,3;0;0;0;0,3;0;1;1;1;0;0;0,5;0,5;DE.Roof.FlatRoofInsulation12cm.01;DE.Roof.FlatRoofInsulation12cm.01;DE.Wall.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Floor.Insulation08cm.01;DE.Floor.Insulation08cm.01;DE.Window.2p-LowE-arg.01;DE.Window.2p-LowE-arg.01;DE.Door.Insulated.02;3,428571429;3,428571429;3,447321429;3,447321429;3,447321429;2,285714286;2,285714286;0,769230769;0,769230769;0,769230769;Add;Add;Add;Add;Add;Add;Add;Replace;Replace;Replace;DE.N;Germany;222;4,4;403;271;392;271;160;EU.SUH;20;0,9;0,8;0,4;2,5;3;0,6;0,8;0,6;0,3;0,9;45;2;1,97;1;1;1;1,3;1;0,29;0,29;0,33;0,18;0,19;0,22;0,22;0,22;0,28;0,3;1,3;1,3;1,3;33,73;0;39,92;0;0;10,92;11,26;44,47;0;2,6;54,92;1,14;0,51;3463;0,9;85;38;123;0;307;1479;307;275;14;16;27;1,71;0,241;0,93;95,29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DE.N.SFH.06.LightFrame.ReEx.001.002;;;2014-09-08;;Typology;DE;DE.N.SFH.06.LightFrame.ReEx.001;2;;;DE.N.SFH.06.LightFrame;SFH;DE.06;1969;1978;184,8;0,1;0,2;138;0;117;0;0;106;0;32;0;2,2;0,5;0,5;0,6;0,6;0,6;1;1;3,5;3,5;3;0,08;0,1;0,06;0,06;0,06;0,02;0,02;0;6,15;16,5;6,15;3,2;0;0;0;0;0;0,3;0;1;0;1;0;0;0,5;0;DE.Roof.Insulation12cm.01;DE.Ceiling.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Floor.Insulation08cm.01;DE.Floor.Insulation08cm.01;DE.Window.2p-LowE-arg.01;DE.Window.2p-LowE-arg.01;DE.Door.Insulated.02;2,436548223;3,428571429;3,447321429;3,447321429;3,447321429;2,285714286;2,285714286;0,769230769;0,769230769;0,769230769;Replace;Add;Add;Add;Add;Add;Add;Replace;Replace;Replace;DE.N;Germany;222;4,4;403;271;392;271;160;EU.SUH;20;0,9;0,8;0,4;2,5;3;0,6;0,8;0,6;0,3;0,9;45;2;2;1,67;1,67;1,67;1,3;1;0,29;0,29;0,33;0,41;0,18;0,2;0,2;0,2;0,28;0,3;1,3;1,3;1,3;56,64;0;22,88;0;0;14,78;0;41,6;0;2,86;39,52;0,96;0,51;3463;0,9;72;38;110;0;378;1467;378;116;13;16;31;1,82;0,26;0,93;83,54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DE.N.SFH.07.Gen.ReEx.001.002;;;2014-09-08;;Typology;DE;DE.N.SFH.07.Gen.ReEx.001;2;;;DE.N.SFH.07.Gen;SFH;DE.07;1979;1983;215,6;0,1;0,2;100,8;0;159,4;0;0;83,4;0;27;0;2;0,5;0,5;0,8;0,8;0,8;0,8;0,8;4,3;4,3;3;0,08;0,06;0;0;0;0,04;0,04;0;8,69;6,02;8,69;3,6;0;0;0;0;0;0,3;0;1;0;1;0;0;0,5;0;DE.Roof.Insulation12cm.01;DE.Ceiling.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Floor.Insulation08cm.01;DE.Floor.Insulation08cm.01;DE.Window.2p-LowE-arg.01;DE.Window.2p-LowE-arg.01;DE.Door.Insulated.02;2,436548223;3,428571429;3,447321429;3,447321429;3,447321429;2,285714286;2,285714286;0,769230769;0,769230769;0,769230769;Replace;Add;Add;Add;Add;Add;Add;Replace;Replace;Replace;DE.N;Germany;222;4,4;403;271;392;271;160;EU.SUH;20;0,9;0,8;0,4;2,5;3;0,6;0,8;0,6;0,3;0,9;45;2;2;1,25;1,25;1,25;1,55;1,25;0,23;0,23;0,33;0,41;0,18;0,21;0,21;0,21;0,26;0,28;1,3;1,3;1,3;41,37;0;33,93;0;0;10,87;0;35,1;0;2,6;37,26;0,75;0,51;3463;0,9;56;38;94;0;534;535;534;131;8;16;36;1,99;0,255;0,95;71,23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DE.N.SFH.08.Gen.ReEx.001.002;;;2014-09-08;;Typology;DE;DE.N.SFH.08.Gen.ReEx.001;2;;;DE.N.SFH.08.Gen;SFH;DE.08;1984;1994;150,205;0,1;0,2;123,2;0;211,3;0;0;75,33;0;29,67;0;2;0,4;0,4;0,5;0,5;0,5;0,6;0,6;3,5;3,5;3;0,12;0,1;0;0;0;0,06;0,06;0;7,42;12,73;7,42;2,1;0;0;0;0;0;0,3;0;1;0;1;0;0;0,5;0;DE.Roof.Insulation12cm.01;DE.Ceiling.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Floor.Insulation08cm.01;DE.Floor.Insulation08cm.01;DE.Window.2p-LowE-arg.01;DE.Window.2p-LowE-arg.01;DE.Door.Insulated.02;2,436548223;3,428571429;3,447321429;3,447321429;3,447321429;2,285714286;2,285714286;0,769230769;0,769230769;0,769230769;Replace;Add;Add;Add;Add;Add;Add;Replace;Replace;Replace;DE.N;Germany;222;4,4;403;271;392;271;160;EU.SUH;20;0,9;0,8;0,4;2,5;3;0,6;0,8;0,6;0,3;0,9;45;2,5;2,5;2;2;2;1,97;1,67;0,29;0,29;0,33;0,41;0,17;0,18;0,18;0,18;0,24;0,25;1,3;1,3;1,3;50,56;0;38,79;0;0;8,86;0;38,57;0;2,6;44,15;1,22;0,51;3463;0,89;91;38;128;0;456;1132;456;76;14;16;26;1,67;0,234;0,93;100,49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
