YEAR;A_WIN_E_BY_ A_W;A_WIN_S_BY_ A_W;A_WIN_W_BY_ A_W;A_WIN_N_BY_ A_W;A_WIN_BY_ A_W
1934;0,00 %;21,13 %;0,00 %;12,36 %;33,49 %
1936;0,00 %;21,13 %;0,00 %;12,36 %;33,49 %
1938;0,00 %;21,13 %;0,00 %;12,36 %;33,49 %
1940;0,00 %;21,13 %;0,00 %;12,36 %;33,49 %
1942;0,00 %;21,13 %;0,00 %;12,36 %;33,49 %
1944;0,00 %;21,13 %;0,00 %;12,36 %;33,49 %
1946;0,00 %;21,13 %;0,00 %;12,36 %;33,49 %
1948;0,00 %;21,13 %;0,00 %;12,36 %;33,49 %
1950;0,00 %;19,05 %;0,00 %;15,61 %;34,66 %
1952;0,00 %;19,05 %;0,00 %;15,61 %;34,66 %
1954;0,00 %;19,05 %;0,00 %;15,61 %;34,66 %
1956;0,00 %;19,05 %;0,00 %;15,61 %;34,66 %
1958;0,00 %;20,11 %;0,00 %;13,33 %;33,45 %
1960;0,00 %;20,11 %;0,00 %;13,33 %;33,45 %
1962;0,00 %;20,11 %;0,00 %;13,33 %;33,45 %
1964;0,00 %;20,11 %;0,00 %;13,33 %;33,45 %
1966;0,00 %;20,11 %;0,00 %;13,33 %;33,45 %
1968;0,00 %;20,11 %;0,00 %;13,33 %;33,45 %
1970;21,74 %;0,00 %;21,74 %;0,00 %;43,48 %
1972;21,74 %;0,00 %;21,74 %;0,00 %;43,48 %
1974;21,74 %;0,00 %;21,74 %;0,00 %;43,48 %
1976;21,74 %;0,00 %;21,74 %;0,00 %;43,48 %
1978;21,74 %;0,00 %;21,74 %;0,00 %;43,48 %
1980;0,00 %;22,03 %;0,00 %;15,40 %;37,43 %
1982;0,00 %;22,03 %;0,00 %;15,40 %;37,43 %
1984;18,42 %;0,00 %;18,42 %;0,00 %;36,84 %
1986;18,42 %;0,00 %;18,42 %;0,00 %;36,84 %
1988;18,42 %;0,00 %;18,42 %;0,00 %;36,84 %
1990;18,42 %;0,00 %;18,42 %;0,00 %;36,84 %
1992;18,42 %;0,00 %;18,42 %;0,00 %;36,84 %
1994;18,42 %;0,00 %;18,42 %;0,00 %;36,84 %
1996;0,00 %;30,80 %;0,00 %;7,11 %;37,90 %
1998;0,00 %;30,80 %;0,00 %;7,11 %;37,90 %
2000;0,00 %;30,80 %;0,00 %;7,11 %;37,90 %
2002;4,69 %;14,14 %;4,69 %;2,27 %;25,80 %
2004;4,69 %;14,14 %;4,69 %;2,27 %;25,80 %
2006;4,69 %;14,14 %;4,69 %;2,27 %;25,80 %
2008;4,69 %;14,14 %;4,69 %;2,27 %;25,80 %
2010;4,69 %;14,14 %;4,69 %;2,27 %;25,80 %
2012;4,69 %;14,14 %;4,69 %;2,27 %;25,80 %
2014;4,69 %;14,14 %;4,69 %;2,27 %;25,80 %
2016;4,69 %;14,14 %;4,69 %;2,27 %;25,80 %
2018;4,69 %;14,14 %;4,69 %;2,27 %;25,80 %
2020;4,69 %;14,14 %;4,69 %;2,27 %;25,80 %
2022;4,69 %;14,14 %;4,69 %;2,27 %;25,80 %
2024;4,69 %;14,14 %;4,69 %;2,27 %;25,80 %
2026;4,69 %;14,14 %;4,69 %;2,27 %;25,80 %
2028;4,69 %;14,14 %;4,69 %;2,27 %;25,80 %
2030;4,69 %;14,14 %;4,69 %;2,27 %;25,80 %
2032;4,69 %;14,14 %;4,69 %;2,27 %;25,80 %
2034;4,69 %;14,14 %;4,69 %;2,27 %;25,80 %
2036;4,69 %;14,14 %;4,69 %;2,27 %;25,80 %
2038;4,69 %;14,14 %;4,69 %;2,27 %;25,80 %
2040;4,69 %;14,14 %;4,69 %;2,27 %;25,80 %
2042;4,69 %;14,14 %;4,69 %;2,27 %;25,80 %
2044;4,69 %;14,14 %;4,69 %;2,27 %;25,80 %
2046;4,69 %;14,14 %;4,69 %;2,27 %;25,80 %
2048;4,69 %;14,14 %;4,69 %;2,27 %;25,80 %
2050;4,69 %;14,14 %;4,69 %;2,27 %;25,80 %
