YEAR;A_WIN_E_BY_ A_W;A_WIN_S_BY_ A_W;A_WIN_W_BY_ A_W;A_WIN_N_BY_ A_W;A_WIN_BY_ A_W
1928;3,87 %;9,35 %;3,87 %;5,16 %;22,25 %
1930;3,87 %;9,35 %;3,87 %;5,16 %;22,25 %
1932;3,87 %;9,35 %;3,87 %;5,16 %;22,25 %
1934;3,87 %;9,35 %;3,87 %;5,16 %;22,25 %
1936;3,87 %;9,35 %;3,87 %;5,16 %;22,25 %
1938;3,87 %;9,35 %;3,87 %;5,16 %;22,25 %
1940;3,87 %;9,35 %;3,87 %;5,16 %;22,25 %
1942;3,87 %;9,35 %;3,87 %;5,16 %;22,25 %
1944;3,87 %;9,35 %;3,87 %;5,16 %;22,25 %
1946;3,87 %;9,35 %;3,87 %;5,16 %;22,25 %
1948;3,87 %;9,35 %;3,87 %;5,16 %;22,25 %
1950;2,76 %;7,30 %;2,76 %;2,80 %;15,62 %
1952;2,76 %;7,30 %;2,76 %;2,80 %;15,62 %
1954;2,76 %;7,30 %;2,76 %;2,80 %;15,62 %
1956;2,76 %;7,30 %;2,76 %;2,80 %;15,62 %
1958;3,89 %;4,28 %;3,89 %;7,21 %;19,27 %
1960;3,89 %;4,28 %;3,89 %;7,21 %;19,27 %
1962;3,89 %;4,28 %;3,89 %;7,21 %;19,27 %
1964;3,89 %;4,28 %;3,89 %;7,21 %;19,27 %
1966;3,89 %;4,28 %;3,89 %;7,21 %;19,27 %
1968;3,89 %;4,28 %;3,89 %;7,21 %;19,27 %
1970;5,26 %;14,10 %;5,26 %;2,74 %;27,35 %
1972;5,26 %;14,10 %;5,26 %;2,74 %;27,35 %
1974;5,26 %;14,10 %;5,26 %;2,74 %;27,35 %
1976;5,26 %;14,10 %;5,26 %;2,74 %;27,35 %
1978;5,26 %;14,10 %;5,26 %;2,74 %;27,35 %
1980;5,45 %;3,78 %;5,45 %;2,26 %;16,94 %
1982;5,45 %;3,78 %;5,45 %;2,26 %;16,94 %
1984;3,51 %;6,02 %;3,51 %;0,99 %;14,04 %
1986;3,51 %;6,02 %;3,51 %;0,99 %;14,04 %
1988;3,51 %;6,02 %;3,51 %;0,99 %;14,04 %
1990;3,51 %;6,02 %;3,51 %;0,99 %;14,04 %
1992;3,51 %;6,02 %;3,51 %;0,99 %;14,04 %
1994;3,51 %;6,02 %;3,51 %;0,99 %;14,04 %
1996;2,84 %;16,00 %;2,84 %;3,95 %;25,64 %
1998;2,84 %;16,00 %;2,84 %;3,95 %;25,64 %
2000;2,84 %;16,00 %;2,84 %;3,95 %;25,64 %
2002;2,08 %;9,17 %;2,08 %;1,65 %;14,98 %
2004;2,08 %;9,17 %;2,08 %;1,65 %;14,98 %
2006;2,08 %;9,17 %;2,08 %;1,65 %;14,98 %
2008;2,08 %;9,17 %;2,08 %;1,65 %;14,98 %
2010;2,08 %;9,17 %;2,08 %;1,65 %;14,98 %
2012;2,08 %;9,17 %;2,08 %;1,65 %;14,98 %
2014;2,08 %;9,17 %;2,08 %;1,65 %;14,98 %
2016;2,08 %;9,17 %;2,08 %;1,65 %;14,98 %
2018;2,08 %;9,17 %;2,08 %;1,65 %;14,98 %
2020;2,08 %;9,17 %;2,08 %;1,65 %;14,98 %
2022;2,08 %;9,17 %;2,08 %;1,65 %;14,98 %
2024;2,08 %;9,17 %;2,08 %;1,65 %;14,98 %
2026;2,08 %;9,17 %;2,08 %;1,65 %;14,98 %
2028;2,08 %;9,17 %;2,08 %;1,65 %;14,98 %
2030;2,08 %;9,17 %;2,08 %;1,65 %;14,98 %
2032;2,08 %;9,17 %;2,08 %;1,65 %;14,98 %
2034;2,08 %;9,17 %;2,08 %;1,65 %;14,98 %
2036;2,08 %;9,17 %;2,08 %;1,65 %;14,98 %
2038;2,08 %;9,17 %;2,08 %;1,65 %;14,98 %
2040;2,08 %;9,17 %;2,08 %;1,65 %;14,98 %
2042;2,08 %;9,17 %;2,08 %;1,65 %;14,98 %
2044;2,08 %;9,17 %;2,08 %;1,65 %;14,98 %
2046;2,08 %;9,17 %;2,08 %;1,65 %;14,98 %
2048;2,08 %;9,17 %;2,08 %;1,65 %;14,98 %
2050;2,08 %;9,17 %;2,08 %;1,65 %;14,98 %
