GENESIS-Tabelle: 036-02-5-B
Gebäude mit Wohnraum nach Anzahl der Wohnungen;;;;;;;
- Stichtag 09.05.2011;;;;;;;
regionale Ebenen;;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;;
Stichtag: 09.05.2011;;;;;;;
;;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum
;;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen
;;Insgesamt;1 Wohnung;2 Wohnungen;3 - 6 Wohnungen;7 - 12 Wohnungen;13 und mehr Wohnungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
08216013;Forbach;1556;840;546;164;6;-
08216015;Gaggenau, Stadt;7366;4023;2129;1036;151;27
08216017;Gernsbach;3698;2232;931;417;87;31
08216022;Hügelsheim;841;381;191;231;35;3
08216023;Iffezheim;1212;630;385;185;12;-
08216024;Kuppenheim;2018;1135;547;315;21;-
08216028;Lichtenau, Baden;1379;918;324;128;9;-
08216029;Loffenau;773;452;237;75;9;-
08216033;Muggensturm;1728;1068;465;167;28;-
08216039;Ötigheim;1283;807;373;103;-;-
08216041;Ottersweier;1688;1019;472;169;28;-
08216043;Rastatt, Stadt;8161;4109;1830;1402;623;197
08216049;Sinzheim;3006;1755;801;391;59;-
08216052;Steinmauern;856;539;262;55;-;-
08216059;Weisenbach;705;344;272;81;8;-
08216063;Rheinmünster;1801;1106;475;187;33;-
08221000;Heidelberg, Stadtkreis;20131;8245;3286;5910;1910;780
08222000;Mannheim, Stadtkreis;41343;18412;6095;8907;6193;1736
08225001;Adelsheim;1471;1029;298;128;16;-
08225002;Aglasterhausen;1375;931;324;111;9;-
08225009;Billigheim;1864;1293;490;81;-;-
08225010;Binau;402;272;103;24;-;3
08225014;Buchen (Odenwald);4954;3194;1271;409;67;13
08225024;Fahrenbach;880;602;233;42;3;-
08225032;Hardheim;1955;1246;521;160;22;6
08225033;Haßmersheim;1413;939;357;95;15;7
08225039;Höpfingen;961;601;290;70;-;-
08225042;Hüffenhardt;640;426;179;35;-;-
08225052;Limbach, Baden;1428;990;366;72;-;-
08225058;Mosbach, Stadt;6093;3759;1403;715;183;33
08225060;Mudau;1592;1079;436;77;-;-
08225064;Neckargerach;748;471;227;50;-;-
08225067;Neckarzimmern;411;287;70;41;13;-
08225068;Neunkirchen, b Mosbach;585;420;135;30;-;-
08225074;Obrigheim;1557;1021;407;109;17;3
08225075;Osterburken;1706;1072;429;181;24;-
08225082;Rosenberg, Baden;779;623;137;19;-;-
08225091;Seckach;1291;866;337;78;10;-
08225109;Walldürn;3306;2177;790;276;50;13
08225113;Zwingenberg;228;144;61;20;3;-
08225114;Ravenstein;988;743;220;18;7;-
08225115;Schefflenz;1361;1005;306;50;-;-
08225116;Schwarzach;626;409;150;64;3;-
08225117;Elztal;1796;1159;497;131;9;-
08225118;Waldbrunn, Odenw;1710;1267;376;63;4;-
08226003;Altlußheim;1570;987;408;150;22;3
08226006;Bammental;1619;937;445;207;23;7
08226009;Brühl, Baden;3075;1688;674;560;122;31
08226010;Dielheim;2607;1641;746;208;9;3
08226012;Dossenheim;2514;1144;527;704;102;37
08226013;Eberbach;3849;2157;925;639;108;20
08226017;Epfenbach;749;459;227;59;4;-
08226018;Eppelheim;2740;1338;606;563;167;66
08226020;Eschelbronn;690;392;228;58;9;3
08226022;Gaiberg;767;557;143;64;-;3
08226027;Heddesbach;160;93;53;11;3;-
08226028;Heddesheim;2377;1232;515;516;72;42
08226029;Heiligkreuzsteinach;900;558;239;100;3;-
08226031;Hemsbach;2727;1600;637;373;72;45
08226032;Hockenheim, Stadt;4944;3085;1049;600;149;61
08226036;Ilvesheim;2114;1239;398;423;44;10
08226037;Ketsch;3343;2070;761;435;65;12
08226038;Ladenburg;2675;1487;545;536;80;27
08226040;Laudenbach, Bergstr;1728;1208;316;176;28;0
08226041;Leimen, Stadt;5111;2890;1108;785;214;114
08226046;Malsch, b Wiesloch;1078;769;229;74;6;-
08226048;Mauer;1068;695;255;109;3;6
08226049;Meckesheim;1520;928;429;151;12;-
08226054;Mühlhausen, Kraichgau;2488;1801;500;156;25;6
08226055;Neckarbischofsheim;1152;719;310;123;-;-
08226056;Neckargemünd;3729;2228;897;516;75;13
08226058;Neidenstein;529;336;156;37;-;-
08226059;Neulußheim;1791;1214;368;173;30;6
08226060;Nußloch;2653;1574;623;345;93;18
08226062;Oftersheim;2483;1408;560;411;70;34
08226063;Plankstadt;2496;1375;635;438;39;9
08226065;Rauenberg;2361;1628;441;258;28;6
08226066;Reichartshausen;611;380;167;61;3;-
08226068;Reilingen;2100;1445;428;208;19;-
08226076;Sandhausen;3420;2178;610;474;125;33
08226080;Schönau;1419;832;415;166;3;3
08226081;Schönbrunn;957;655;244;55;3;-
08226082;Schriesheim;3661;1968;883;706;75;29
08226084;Schwetzingen, Stadt;3846;1847;691;894;323;91
08226085;Sinsheim, Stadt;9056;5905;2057;924;143;27
08226086;Spechbach;537;365;133;33;6;-
08226091;Waibstadt;1636;1053;410;164;9;-
08226095;Walldorf, Baden;3581;2338;616;488;121;18
08226096;Weinheim, Stadt;10430;6236;2293;1441;366;94
08226097;Wiesenbach, Baden;887;531;238;106;12;-
08226098;Wiesloch, Stadt;5787;3446;1273;815;196;57
08226099;Wilhelmsfeld;974;562;253;141;15;3
08226101;Zuzenhausen;684;461;155;65;3;-
08226102;Angelbachtal;1421;1013;287;102;16;3
08226103;St. Leon-Rot;3921;2960;706;206;45;4
08226104;Lobbach;727;453;206;65;3;-
08226105;Edingen-Neckarhausen;3428;1973;727;624;101;3
08226106;Helmstadt-Bargen;1164;803;292;66;3;-
08226107;Hirschberg an der Bergstraße;2394;1318;552;459;53;12
08231000;Pforzheim, Stadtkreis;18315;9225;2831;3724;1928;607
08235006;Altensteig;2716;1682;653;333;27;21
08235007;Althengstett;2172;1398;519;235;20;-
08235008;Bad Liebenzell;2284;1276;532;381;69;26
08235018;Dobel;568;335;125;73;12;23
08235020;Ebhausen;1294;801;353;127;9;4
08235022;Egenhausen;534;351;142;38;3;-
08235025;Enzklösterle;372;179;105;78;6;4
08235029;Gechingen;1063;671;259;116;17;-
08235032;Haiterbach;1550;953;399;186;12;-
08235033;Bad Herrenalb;1849;938;432;331;118;30
08235035;Höfen an der Enz;397;187;118;86;6;-
08235046;Nagold, Stadt;4899;2982;1108;627;137;45
08235047;Neubulach;1548;1016;381;138;6;7
08235050;Neuweiler;1004;642;292;66;4;-
08235055;Oberreichenbach, Württ;878;554;247;77;-;-
08235057;Ostelsheim;691;445;176;61;9;-
08235060;Rohrdorf, b Nagold;504;312;121;49;22;-
08235065;Schömberg, b Neuenbürg, Württ;1828;1038;465;253;63;9
08235066;Simmersfeld;609;345;202;62;-;-
08235067;Simmozheim;762;493;194;63;12;-
08235073;Unterreichenbach;682;436;158;66;18;4
08235079;Bad Wildbad;2461;1123;677;581;74;6
08235080;Wildberg, Württ;2876;1840;760;255;21;-
08235084;Bad Teinach-Zavelstein;896;529;255;102;6;4
08235085;Calw, Stadt;5119;2960;1198;765;168;28
08236004;Birkenfeld, Württ;2834;1849;598;334;49;4
08236011;Eisingen, Baden;985;531;322;107;16;9
08236013;Engelsbrand;1417;1040;271;100;6;-
08236019;Friolzheim;997;706;171;98;18;4
08236025;Heimsheim;1226;781;263;135;31;16
08236028;Illingen, Württ;2126;1476;466;148;27;9
08236030;Ispringen;1523;764;460;265;30;4
08236031;Kieselbronn;892;599;189;87;17;-
08236033;Knittlingen;2291;1542;511;219;19;-
08236038;Maulbronn;1847;1236;414;181;16;-
08236039;Mönsheim;824;541;208;69;3;3
08236040;Mühlacker, Stadt;6445;4269;1330;688;120;38
08236043;Neuenbürg;1990;1132;526;274;40;18
08236044;Neuhausen, Enzkr;1751;1251;402;92;6;-
08236046;Niefern-Öschelbronn;2854;1823;603;337;69;22
08236050;Ötisheim;1481;1069;308;82;19;3
08236061;Sternenfels;954;715;176;56;7;-
08236062;Tiefenbronn;1606;1141;364;87;14;-
08236065;Wiernsheim;1963;1395;407;136;16;9
08236067;Wimsheim;765;493;194;66;9;3
08236068;Wurmberg;867;610;200;54;3;-
08236070;Keltern;2819;1899;665;232;23;-
08236071;Remchingen;3205;2051;780;335;32;7
08236072;Straubenhardt;3178;2176;713;253;32;4
08236073;Neulingen, Enzkr;1858;1361;352;125;13;7
08236074;Kämpfelbach;1894;1090;583;199;16;6
08236075;Ölbronn-Dürrn;1045;725;244;67;9;-
08236076;Königsbach-Stein;2896;1809;751;314;19;3
08237002;Alpirsbach;1900;1206;474;202;15;3
08237004;Baiersbronn;3727;1674;1180;790;57;26
08237019;Dornstetten;1752;943;445;303;52;9
08237024;Empfingen;1136;779;249;108;-;-
08237027;Eutingen im Gäu;1656;1188;345;114;9;-
08237028;Freudenstadt, Stadt;4994;2518;1139;1081;205;51
08237030;Glatten;704;402;188;110;4;-
08237032;Grömbach;193;129;51;13;-;-
08237040;Horb am Neckar, Stadt;6943;4670;1510;658;99;6
08237045;Loßburg;2180;1267;638;249;26;-
08237054;Pfalzgrafenweiler;1753;1100;425;186;38;4
08237061;Schopfloch, Kr Freudenstadt;686;414;199;67;6;-
08237072;Wörnersberg;71;45;23;3;-;-
08237073;Seewald;665;432;174;56;3;-
08237074;Waldachtal;1808;1131;489;164;21;3
08237075;Bad Rippoldsau-Schapbach;594;242;248;101;3;-
08311000;Freiburg im Breisgau, Stadtkreis;26618;10746;4059;7200;3306;1307
08315003;Au;341;174;116;51;-;-
08315004;Auggen;689;474;146;63;6;-
08315006;Bad Krozingen, Stadt;3427;2052;607;535;184;49
08315007;Badenweiler;1119;652;221;192;51;3
08315008;Ballrechten-Dottingen;597;354;145;91;7;-
08315013;Bötzingen;1090;569;267;224;27;3
08315014;Bollschweil;579;334;164;81;-;-
08315015;Breisach am Rhein;3214;1951;674;455;118;16
08315016;Breitnau;432;207;130;92;3;-
08315020;Buchenbach;705;301;257;135;9;3
08315022;Buggingen;1067;740;218;103;6;-
08315028;Ebringen;695;322;252;118;3;-
08315030;Eichstetten am Kaiserstuhl;795;441;211;131;12;-
08315031;Eisenbach (Hochschwarzwald);586;346;170;61;9;-
08315033;Eschbach, Markgräflerl;593;410;122;45;16;-
08315037;Feldberg (Schwarzwald);674;369;152;130;23;-
08315039;Friedenweiler;529;269;169;79;12;-
08315041;Glottertal;696;257;206;220;13;-
08315043;Gottenheim;715;415;215;82;3;-
08315047;Gundelfingen;2155;1189;355;395;173;43
08315048;Hartheim;1111;666;293;118;34;-
08315050;Heitersheim;1343;842;291;159;42;9
08315051;Heuweiler;274;149;88;37;-;-
08315052;Hinterzarten;631;280;146;171;28;6
08315056;Horben;280;175;67;38;-;-
08315059;Ihringen;1573;881;427;247;18;-
08315064;Kirchzarten;2233;1289;406;454;84;-
08315068;Lenzkirch;1244;606;327;243;50;18
08315070;Löffingen;2024;1207;545;251;6;15
08315072;Merdingen;694;392;222;77;3;-
08315073;Merzhausen;1032;507;243;205;71;6
08315074;Müllheim;3975;2425;770;581;160;39
08315076;Neuenburg am Rhein;2806;1891;529;305;62;19
08315084;Oberried;669;272;198;183;16;-
08315089;Pfaffenweiler;659;357;187;109;6;-
08315094;St. Märgen;437;181;145;108;3;-
08315095;St. Peter;560;208;187;159;6;-
08315098;Schallstadt;1548;930;372;218;28;-
08315102;Schluchsee;752;409;164;153;16;10
08315107;Sölden;339;190;94;48;7;-
08315108;Staufen im Breisgau;1786;1122;339;242;52;31
08315109;Stegen;945;490;235;204;13;3
08315111;Sulzburg;770;482;189;93;6;-
08315113;Titisee-Neustadt;2436;1141;606;538;132;19
08315115;Umkirch;851;454;202;125;36;34
08315125;Wittnau;373;209;112;49;3;-
08315130;Münstertal/Schwarzwald;1187;504;388;279;16;-
08315131;Ehrenkirchen;1770;978;480;268;44;-
08315132;March;1913;984;486;362;72;9
08315133;Vogtsburg im Kaiserstuhl;1744;1067;468;199;7;3
08316002;Bahlingen am Kaiserstuhl;993;510;343;131;9;-
08316003;Biederbach;464;271;140;53;-;-
08316009;Denzlingen;2345;1233;438;438;171;65
08316010;Elzach;1795;880;575;309;31;-
08316011;Emmendingen, Stadt;5072;2450;1150;1151;270;51
08316012;Endingen am Kaiserstuhl;2285;1354;569;332;27;3
08316013;Forchheim, Breisgau;390;274;82;34;-;-
08316014;Gutach im Breisgau;887;382;265;207;33;-
08316017;Herbolzheim;2550;1553;614;328;43;12
08316020;Kenzingen;2299;1487;489;289;24;10
08316024;Malterdingen;777;442;229;100;6;-
08316036;Reute;747;375;229;140;3;-
08316037;Riegel am Kaiserstuhl;791;447;174;135;35;-
08316038;Sasbach am Kaiserstuhl;990;664;242;84;-;-
08316039;Sexau;832;415;268;149;-;-
08316042;Simonswald;822;404;262;141;15;-
08316043;Teningen;2958;1729;724;428;74;3
08316045;Vörstetten;751;460;166;100;25;-
08316049;Weisweil;602;423;124;49;6;-
08316051;Wyhl am Kaiserstuhl;966;592;235;122;17;-
08316053;Rheinhausen;1032;655;295;82;-;-
08316054;Freiamt;1040;518;382;134;6;-
08316055;Winden im Elztal;707;315;258;127;7;-
08316056;Waldkirch, Stadt;3866;1753;948;939;164;62
08317001;Achern, Stadt;6066;3640;1522;731;138;35
08317005;Appenweier;2515;1417;779;283;33;3
08317008;Bad Peterstal-Griesbach;664;276;241;134;13;-
08317009;Berghaupten;603;298;226;79;-;-
08317011;Biberach;869;447;295;117;10;-
08317021;Durbach;1034;527;360;138;9;-
08317026;Ettenheim;3166;2013;744;338;71;-
08317029;Fischerbach;438;218;153;64;-;3
08317031;Friesenheim, Baden;3247;1731;1051;413;44;8
08317034;Gengenbach;2258;980;664;506;99;9
08317039;Gutach (Schwarzwaldbahn);655;347;241;64;3;-
08317040;Haslach im Kinzigtal;1564;751;465;280;55;13
08317041;Hausach;1269;596;386;268;13;6
08317046;Hofstetten, Kinzigtal;392;166;139;81;6;-
08317047;Hohberg;2077;1069;724;281;3;-
08317051;Hornberg;1072;499;338;192;34;9
08317056;Kappelrodeck;1563;837;522;197;7;-
08317057;Kehl, Stadt;7878;4881;1637;942;343;75
08317059;Kippenheim;1373;771;411;159;29;3
08317065;Lahr/Schwarzwald, Stadt;8156;4137;2007;1611;308;93
08317067;Lautenbach;489;237;189;56;7;-
08317068;Lauf;1090;603;370;107;10;-
08317073;Mahlberg;1127;620;329;145;33;-
08317075;Meißenheim;1097;725;288;81;3;-
08317078;Mühlenbach;405;159;173;73;-;-
08317085;Nordrach;516;276;185;55;-;-
08317088;Oberharmersbach;632;295;225;112;-;-
08317089;Oberkirch, Stadt;4636;2659;1214;636;99;28
08317093;Oberwolfach;694;337;276;81;-;-
08317096;Offenburg, Stadt;11718;6281;2489;2188;646;114
08317097;Ohlsbach;846;462;247;134;3;-
08317098;Oppenau;1185;540;448;181;16;-
08317100;Ortenberg, Baden;862;446;276;137;3;-
08317102;Ottenhöfen im Schwarzwald;831;432;275;121;-;3
08317110;Renchen;2027;1299;507;203;18;-
08317113;Ringsheim;662;417;175;70;-;-
08317114;Rust;881;482;281;103;12;3
08317116;Sasbach, b Achern, Baden;1374;819;353;180;18;4
08317118;Sasbachwalden;692;405;159;100;25;3
08317121;Schuttertal;831;408;332;91;-;-
08317122;Schutterwald;1942;1164;567;201;10;-
08317126;Seebach, Baden;410;183;178;49;-;-
08317127;Seelbach, Schutter;1372;748;442;163;16;3
08317129;Steinach, Baden;1034;525;385;124;-;-
08317141;Willstätt;2431;1562;571;253;38;7
08317145;Wolfach;1511;692;524;276;16;3
08317146;Zell am Harmersbach;1855;877;576;352;50;-
08317150;Schwanau;1967;1298;503;157;6;3
08317151;Neuried, Ortenaukreis;2603;1614;749;233;7;-
08317152;Kappel-Grafenhausen;1283;774;356;146;7;-
08317153;Rheinau;3389;2430;744;208;3;4
08325001;Aichhalden;1270;802;356;112;-;-
08325009;Bösingen;1001;710;238;47;3;3
08325011;Dietingen;1306;990;254;52;10;-
08325012;Dornhan;2014;1424;453;133;-;4
08325014;Dunningen;1749;1106;533;101;9;-
08325015;Epfendorf;1045;673;288;81;3;-
08325024;Hardt, b Schramberg;737;435;228;70;4;-
08325036;Lauterbach, Schwarzw;852;398;319;129;6;-
08325045;Oberndorf am Neckar;3946;2610;823;417;87;9
08325049;Rottweil, Stadt;5905;3645;1189;859;168;44
08325050;Schenkenzell;600;333;226;41;-;-
08325051;Schiltach;1141;634;358;142;7;-
08325053;Schramberg, Stadt;5468;2873;1487;981;102;25
08325057;Sulz am Neckar;3700;2641;740;266;50;3
08325060;Villingendorf;921;580;268;70;3;-
08325061;Vöhringen, Württ;1328;987;246;92;3;-
08325064;Wellendingen;996;801;145;40;7;3
08325069;Zimmern ob Rottweil;1683;1134;376;156;17;0
08325070;Fluorn-Winzeln;1020;736;241;43;-;-
08325071;Eschbronn;687;490;158;36;3;-
08325072;Deißlingen;1868;1303;436;119;7;3
08326003;Bad Dürrheim;2873;1702;616;392;133;30
08326005;Blumberg, Baden;2684;1728;612;280;58;6
08326006;Bräunlingen;1634;980;475;173;3;3
08326010;Dauchingen;946;603;201;106;32;4
08326012;Donaueschingen, Stadt;4981;2881;1124;773;163;40
08326017;Furtwangen im Schwarzwald;2042;905;663;391;47;36
08326020;Gütenbach;320;138;130;45;7;-
08326027;Hüfingen;1892;1240;405;212;32;3
08326031;Königsfeld im Schwarzwald;1617;951;447;188;28;3
08326037;Mönchweiler;837;495;228;94;20;-
08326041;Niedereschach;1650;990;486;153;21;-
08326052;St. Georgen im Schwarzwald;3073;1621;810;519;102;21
08326054;Schönwald im Schwarzwald;707;347;181;132;40;7
08326055;Schonach im Schwarzwald;1028;387;346;229;48;18
08326060;Triberg im Schwarzwald;1153;477;362;277;27;10
08326061;Tuningen;887;605;204;75;3;-
08326065;Unterkirnach;585;279;179;104;17;6
08326068;Vöhrenbach;1013;484;365;164;-;-
08326074;Villingen-Schwenningen, Stadt;16214;8454;3646;2992;873;249
08326075;Brigachtal;1272;602;424;234;9;3
08327002;Aldingen;1947;1378;382;144;37;6
08327004;Bärenthal;173;130;37;6;-;-
08327005;Balgheim;353;264;77;12;-;-
08327006;Böttingen;512;450;50;12;-;-
08327007;Bubsheim;360;313;35;12;-;-
08327008;Buchheim;227;177;50;-;-;-
08327009;Deilingen;638;549;76;13;-;-
08327010;Denkingen;759;527;165;64;3;-
08327011;Dürbheim;537;377;135;22;3;-
08327012;Durchhausen;296;213;77;6;-;-
08327013;Egesheim;188;151;31;6;-;-
08327016;Fridingen an der Donau;1046;774;222;47;3;-
08327017;Frittlingen;634;412;173;49;-;-
08327018;Geisingen;1644;1052;418;155;19;-
08327019;Gosheim;1079;731;242;100;6;-
08327020;Gunningen;216;154;49;13;-;-
08327023;Hausen ob Verena;273;217;53;3;-;-
08327025;Immendingen;1524;878;415;222;9;-
08327027;Irndorf;294;265;26;3;-;-
08327029;Königsheim;212;183;25;4;-;-
08327030;Kolbingen;421;342;67;12;-;-
08327033;Mahlstetten;312;257;52;3;-;-
08327036;Mühlheim an der Donau;1149;821;235;93;-;-
08327038;Neuhausen ob Eck;1198;918;214;57;9;-
08327040;Reichenbach am Heuberg;159;128;25;6;-;-
08327041;Renquishausen;268;221;47;-;-;-
08327046;Spaichingen;3099;1830;815;388;43;23
08327048;Talheim, Kr Tuttlingen;401;295;86;20;-;-
08327049;Trossingen;3805;2475;746;452;98;34
08327050;Tuttlingen, Stadt;8028;4522;1783;1394;273;56
08327051;Wehingen;1000;691;222;74;10;3
08327054;Wurmlingen;1173;847;238;76;9;3
08327055;Seitingen-Oberflacht;758;534;163;61;-;-
08327056;Rietheim-Weilheim;849;591;189;62;3;4
08327057;Emmingen-Liptingen;1382;970;293;107;12;-
08335001;Aach, Hegau;634;414;141;64;12;3
08335002;Allensbach;1606;823;379;331;63;10
08335015;Büsingen am Hochrhein;405;228;80;66;28;3
08335021;Eigeltingen;1084;728;254;89;13;-
08335022;Engen;2710;1745;614;279;65;7
08335025;Gaienhofen;1143;684;271;169;16;3
08335026;Gailingen am Hochrhein;761;448;216;78;16;3
08335028;Gottmadingen;2561;1599;538;330;81;13
08335035;Hilzingen;2332;1547;497;260;25;3
08335043;Konstanz, Universitätsstadt;10910;4487;1626;3025;1366;406
08335055;Moos, Bodensee;1000;664;210;126;-;-
08335057;Mühlingen;699;450;185;64;-;-
08335061;Öhningen;1258;772;293;169;21;3
08335063;Radolfzell am Bodensee, Stadt;6231;3376;1267;1157;366;65
08335066;Reichenau;1107;467;292;321;20;7
08335075;Singen (Hohentwiel), Stadt;7551;3883;1364;1422;699;183
08335077;Steißlingen;1218;730;332;140;13;3
08335079;Stockach;4182;2617;912;551;93;9
08335080;Tengen;1381;900;394;81;3;3
08335081;Volkertshausen;819;513;219;68;16;3
08335096;Hohenfels, b Stockach;631;452;147;32;-;-
08335097;Mühlhausen-Ehingen;1048;700;245;97;6;-
08335098;Bodman-Ludwigshafen;1217;597;281;287;49;3
08335099;Orsingen-Nenzingen;905;615;192;95;3;-
08335100;Rielasingen-Worblingen;2808;1803;489;391;109;16
08336004;Aitern;155;86;53;16;-;-
08336006;Bad Bellingen;924;493;222;156;40;13
08336008;Binzen;834;578;165;87;4;-
08336010;Böllen;33;16;9;8;-;-
08336014;Efringen-Kirchen;2450;1635;541;241;30;3
08336019;Eimeldingen;582;389;96;66;28;3
08336024;Fischingen;233;192;38;3;-;-
08336025;Fröhnd;123;58;40;25;-;-
08336034;Hasel;306;177;96;33;-;-
08336036;Hausen im Wiesental;563;315;144;98;3;3
08336043;Inzlingen;693;417;164;99;7;6
08336045;Kandern;2243;1429;547;236;28;3
08336050;Lörrach, Stadt;8380;4342;1487;1629;731;191
08336057;Maulburg;882;441;229;178;34;-
08336069;Rheinfelden (Baden), Stadt;6340;3780;1193;964;336;67
08336073;Rümmingen;474;347;97;24;6;-
08336075;Schallbach;211;140;50;18;3;-
08336078;Schliengen;1565;1057;345;148;15;-
08336079;Schönau im Schwarzwald;517;237;129;133;15;3
08336080;Schönenberg;113;58;46;9;-;-
08336081;Schopfheim;3977;2343;805;634;163;32
08336082;Schwörstadt;624;317;181;122;4;-
08336084;Steinen, Kr Lörrach;2504;1599;509;307;70;19
08336087;Todtnau;1342;609;393;296;35;9
08336089;Tunau;52;32;13;7;-;-
08336090;Utzenfeld;151;81;55;12;-;3
08336091;Weil am Rhein, Stadt;5773;3630;816;857;385;85
08336094;Wembach;83;46;31;6;-;-
08336096;Wieden;170;90;42;38;-;-
08336100;Wittlingen;272;176;83;13;-;-
08336103;Zell im Wiesental;1241;584;324;280;53;-
08336104;Malsburg-Marzell;458;309;116;30;-;3
08336105;Grenzach-Wyhlen;3080;1922;493;463;179;23
08336106;Häg-Ehrsberg;240;142;60;38;-;-
08336107;Kleines Wiesental;908;569;246;90;3;-
08337002;Albbruck;1774;1024;523;185;33;9
08337013;Bernau im Schwarzwald;533;277;133;111;9;3
08337022;Bonndorf im Schwarzwald;1627;891;435;252;43;6
08337027;Dachsberg (Südschwarzwald);412;235;101;76;-;-
08337030;Dettighofen;369;269;80;20;-;-
08337032;Dogern;610;348;141;98;23;-
08337038;Görwihl;1171;642;333;184;12;-
08337039;Grafenhausen;628;321;191;110;6;-
08337045;Häusern;335;152;117;50;9;7
08337049;Herrischried;910;601;186;111;9;3
08337051;Höchenschwand;553;280;113;123;15;22
08337053;Hohentengen am Hochrhein;962;587;230;135;7;3
08337059;Ibach;122;79;23;17;3;-
08337060;Jestetten;1298;849;268;148;24;9
08337062;Klettgau;2015;1239;508;233;32;3
08337065;Lauchringen;1663;938;433;239;44;9
08337066;Laufenburg (Baden);2112;1274;504;271;51;12
08337070;Lottstetten;592;383;137;49;17;6
08337076;Murg;1692;901;501;257;26;7
08337090;Rickenbach;1076;605;323;142;6;-
08337096;Bad Säckingen;3182;1730;639;509;248;56
08337097;St. Blasien;759;332;168;196;54;9
08337106;Stühlingen;1462;882;385;184;11;-
08337108;Todtmoos;582;294;124;120;29;15
08337116;Wehr, Baden;2842;1570;673;422;149;28
08337118;Weilheim;881;494;301;83;3;-
08337123;Wutöschingen;1539;839;490;175;29;6
08337124;Eggingen;440;263;118;50;9;-
08337125;Küssaberg;1438;870;340;204;17;7
08337126;Waldshut-Tiengen, Stadt;4540;2294;1044;927;217;58
08337127;Wutach;354;208;123;23;-;-
08337128;Ühlingen-Birkendorf;1330;771;342;184;33;-
08415014;Dettingen an der Erms;2481;1615;577;261;25;3
08415019;Eningen unter Achalm;2777;1881;498;307;75;16
08415027;Gomadingen;757;566;147;41;3;-
08415028;Grabenstetten;571;441;103;27;-;-
08415029;Grafenberg;780;556;161;56;7;-
08415034;Hayingen;782;577;156;46;3;-
08415039;Hülben;992;755;204;30;3;-
08415048;Mehrstetten;423;284;109;30;-;-
08415050;Metzingen, Stadt;5075;3155;1073;620;184;43
08415053;Münsingen;4054;2924;731;315;72;12
08415058;Pfronstetten;516;428;79;9;-;-
08415059;Pfullingen;4292;2493;1018;602;170;9
08415060;Pliezhausen;2704;1933;539;186;37;9
08415061;Reutlingen, Stadt;24128;15697;3794;3334;1073;230
08415062;Riederich;1148;755;233;146;14;-
08415073;Trochtelfingen;1946;1354;420;163;9;-
08415078;Bad Urach;2954;1817;567;442;94;34
08415080;Wannweil;1456;943;300;185;28;-
08415085;Zwiefalten;732;533;162;31;-;6
08415086;Gutsbezirk Münsingen, gem.fr. Geb.;-;-;-;-;-;-
08415087;Walddorfhäslach;1394;985;295;108;6;-
08415088;Römerstein;1372;1049;274;46;3;-
08415089;Engstingen;1542;1066;329;141;6;-
08415090;Hohenstein, Württ;1159;857;244;58;-;-
08415091;Sonnenbühl;2340;1717;480;137;6;-
08415092;Lichtenstein;2419;1488;608;284;33;6
08415093;St. Johann;1835;1408;330;94;3;-
08416006;Bodelshausen;1518;1032;333;132;18;3
08416009;Dettenhausen;1553;1054;334;153;12;-
08416011;Dußlingen;1490;966;292;211;15;6
08416015;Gomaringen;2262;1519;472;228;40;3
08416018;Hirrlingen;898;662;168;65;3;-
08416022;Kirchentellinsfurt;1492;995;320;149;21;7
08416023;Kusterdingen;2350;1622;474;217;30;7
08416025;Mössingen, Stadt;5111;3587;914;502;93;15
08416026;Nehren, Württ;1168;823;197;126;19;3
08416031;Ofterdingen;1329;950;258;115;6;-
08416036;Rottenburg am Neckar, Stadt;10799;7199;2320;1073;160;47
08416041;Tübingen, Universitätsstadt;13549;6264;3038;3051;867;329
08416048;Ammerbuch;3130;2044;752;299;29;6
08416049;Neustetten;985;708;205;59;13;-
08416050;Starzach;1477;1217;218;32;10;-
08417002;Balingen, Stadt;9653;7261;1379;801;166;46
08417008;Bisingen;2907;2231;453;190;30;3
08417010;Bitz;1408;1196;160;36;16;-
08417013;Burladingen;4330;3498;633;186;9;4
08417014;Dautmergen;165;136;29;-;-;-
08417015;Dormettingen;355;312;29;14;-;-
08417016;Dotternhausen;621;522;67;32;-;-
08417022;Geislingen;2049;1664;293;78;10;4
08417023;Grosselfingen;715;597;91;24;3;-
08417025;Haigerloch;3631;2863;576;170;18;4
08417029;Hausen am Tann;189;172;13;4;-;-
08417031;Hechingen;5371;3999;836;398;118;20
08417036;Jungingen;510;413;74;20;-;3
08417044;Meßstetten;3453;2740;483;208;12;10
08417045;Nusplingen;678;554;103;21;-;-
08417047;Obernheim;563;461;99;3;-;-
08417051;Rangendingen;1683;1279;323;81;-;-
08417052;Ratshausen;253;207;32;10;4;-
08417054;Rosenfeld;2040;1668;280;88;0;4
